Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - electrical component of [1] - J.F.Ziegler et al	5 - nuclear component of [1] - J.F.Ziegler et al
260.187266	5.59508   	3.90139   	4.06529   	3.93483   	3.90044   	0.000952644
260.262172	5.59417   	3.90079   	4.06469   	3.9342    	3.89984   	0.000952395
260.337079	5.59326   	3.90019   	4.06409   	3.93357   	3.89923   	0.000952147
260.411985	5.59236   	3.89958   	4.0635    	3.93294   	3.89863   	0.000951899
260.486891	5.59146   	3.89898   	4.0629    	3.93231   	3.89803   	0.000951651
260.561798	5.59055   	3.89838   	4.06231   	3.93168   	3.89743   	0.000951403
260.636704	5.58965   	3.89778   	4.06171   	3.93105   	3.89683   	0.000951155
260.711610	5.58874   	3.89718   	4.06112   	3.93042   	3.89623   	0.000950907
260.786517	5.58784   	3.89658   	4.06052   	3.92979   	3.89563   	0.000950659
260.861423	5.58694   	3.89598   	4.05993   	3.92916   	3.89503   	0.000950412
260.936330	5.58604   	3.89538   	4.05933   	3.92853   	3.89443   	0.000950165
261.011236	5.58514   	3.89478   	4.05874   	3.9279    	3.89383   	0.000949917
261.086142	5.58424   	3.89419   	4.05815   	3.92728   	3.89324   	0.00094967
261.161049	5.58334   	3.89359   	4.05755   	3.92665   	3.89264   	0.000949423
261.235955	5.58244   	3.89299   	4.05696   	3.92602   	3.89204   	0.000949177
261.310861	5.58154   	3.89239   	4.05637   	3.92539   	3.89144   	0.00094893
261.385768	5.58064   	3.89179   	4.05578   	3.92477   	3.89085   	0.000948684
261.460674	5.57974   	3.8912    	4.05518   	3.92414   	3.89025   	0.000948437
261.535581	5.57884   	3.8906    	4.05459   	3.92351   	3.88965   	0.000948191
261.610487	5.57795   	3.89      	4.054     	3.92289   	3.88906   	0.000947945
261.685393	5.57705   	3.88941   	4.05341   	3.92226   	3.88846   	0.000947699
261.760300	5.57615   	3.88881   	4.05282   	3.92164   	3.88787   	0.000947453
261.835206	5.57526   	3.88822   	4.05223   	3.92101   	3.88727   	0.000947207
261.910112	5.57436   	3.88762   	4.05164   	3.92039   	3.88668   	0.000946962
261.985019	5.57347   	3.88703   	4.05105   	3.91977   	3.88608   	0.000946716
262.059925	5.57257   	3.88643   	4.05046   	3.91914   	3.88549   	0.000946471
262.134831	5.57168   	3.88584   	4.04987   	3.91852   	3.88489   	0.000946226
262.209738	5.57079   	3.88525   	4.04928   	3.9179    	3.8843    	0.000945981
262.284644	5.56989   	3.88465   	4.0487    	3.91727   	3.88371   	0.000945736
262.359551	5.569     	3.88406   	4.04811   	3.91665   	3.88311   	0.000945491
262.434457	5.56811   	3.88347   	4.04752   	3.91603   	3.88252   	0.000945246
262.509363	5.56722   	3.88287   	4.04693   	3.91541   	3.88193   	0.000945002
262.584270	5.56633   	3.88228   	4.04635   	3.91479   	3.88134   	0.000944757
262.659176	5.56544   	3.88169   	4.04576   	3.91417   	3.88075   	0.000944513
262.734082	5.56455   	3.8811    	4.04517   	3.91355   	3.88015   	0.000944269
262.808989	5.56366   	3.88051   	4.04459   	3.91293   	3.87956   	0.000944025
262.883895	5.56277   	3.87992   	4.044     	3.91231   	3.87897   	0.000943781
262.958801	5.56188   	3.87933   	4.04342   	3.91169   	3.87838   	0.000943537
263.033708	5.56099   	3.87874   	4.04283   	3.91107   	3.87779   	0.000943294
263.108614	5.5601    	3.87815   	4.04225   	3.91045   	3.8772    	0.00094305
263.183521	5.55921   	3.87756   	4.04166   	3.90983   	3.87661   	0.000942807
263.258427	5.55833   	3.87697   	4.04108   	3.90921   	3.87602   	0.000942564
263.333333	5.55744   	3.87638   	4.04049   	3.90859   	3.87544   	0.000942321
263.408240	5.55656   	3.87579   	4.03991   	3.90798   	3.87485   	0.000942078
263.483146	5.55567   	3.8752    	4.03933   	3.90736   	3.87426   	0.000941835
263.558052	5.55478   	3.87461   	4.03874   	3.90674   	3.87367   	0.000941592
263.632959	5.5539    	3.87403   	4.03816   	3.90613   	3.87308   	0.00094135
263.707865	5.55302   	3.87344   	4.03758   	3.90551   	3.8725    	0.000941107
263.782772	5.55213   	3.87285   	4.037     	3.9049    	3.87191   	0.000940865
263.857678	5.55125   	3.87226   	4.03642   	3.90428   	3.87132   	0.000940623
263.932584	5.55037   	3.87168   	4.03584   	3.90367   	3.87074   	0.000940381
264.007491	5.54948   	3.87109   	4.03525   	3.90305   	3.87015   	0.000940139
264.082397	5.5486    	3.87051   	4.03467   	3.90244   	3.86957   	0.000939897
264.157303	5.54772   	3.86992   	4.03409   	3.90182   	3.86898   	0.000939656
264.232210	5.54684   	3.86933   	4.03351   	3.90121   	3.8684    	0.000939414
264.307116	5.54596   	3.86875   	4.03293   	3.9006    	3.86781   	0.000939173
264.382022	5.54508   	3.86817   	4.03235   	3.89998   	3.86723   	0.000938931
264.456929	5.5442    	3.86758   	4.03178   	3.89937   	3.86664   	0.00093869
264.531835	5.54332   	3.867     	4.0312    	3.89876   	3.86606   	0.000938449
264.606742	5.54244   	3.86641   	4.03062   	3.89815   	3.86548   	0.000938208
264.681648	5.54157   	3.86583   	4.03004   	3.89753   	3.86489   	0.000937968
264.756554	5.54069   	3.86525   	4.02946   	3.89692   	3.86431   	0.000937727
264.831461	5.53981   	3.86466   	4.02888   	3.89631   	3.86373   	0.000937487
264.906367	5.53893   	3.86408   	4.02831   	3.8957    	3.86314   	0.000937246
264.981273	5.53806   	3.8635    	4.02773   	3.89509   	3.86256   	0.000937006
265.056180	5.53718   	3.86292   	4.02715   	3.89448   	3.86198   	0.000936766
265.131086	5.53631   	3.86234   	4.02658   	3.89387   	3.8614    	0.000936526
265.205993	5.53543   	3.86176   	4.026     	3.89326   	3.86082   	0.000936286
265.280899	5.53456   	3.86117   	4.02543   	3.89265   	3.86024   	0.000936047
265.355805	5.53368   	3.86059   	4.02485   	3.89204   	3.85966   	0.000935807
265.430712	5.53281   	3.86001   	4.02428   	3.89144   	3.85908   	0.000935568
265.505618	5.53194   	3.85943   	4.0237    	3.89083   	3.8585    	0.000935328
265.580524	5.53107   	3.85885   	4.02313   	3.89022   	3.85792   	0.000935089
265.655431	5.53019   	3.85828   	4.02255   	3.88961   	3.85734   	0.00093485
265.730337	5.52932   	3.8577    	4.02198   	3.88901   	3.85676   	0.000934611
265.805243	5.52845   	3.85712   	4.02141   	3.8884    	3.85618   	0.000934372
265.880150	5.52758   	3.85654   	4.02083   	3.88779   	3.85561   	0.000934134
265.955056	5.52671   	3.85596   	4.02026   	3.88719   	3.85503   	0.000933895
266.029963	5.52584   	3.85538   	4.01969   	3.88658   	3.85445   	0.000933657
266.104869	5.52497   	3.85481   	4.01911   	3.88598   	3.85387   	0.000933418
266.179775	5.5241    	3.85423   	4.01854   	3.88537   	3.8533    	0.00093318
266.254682	5.52323   	3.85365   	4.01797   	3.88477   	3.85272   	0.000932942
266.329588	5.52237   	3.85308   	4.0174    	3.88416   	3.85214   	0.000932704
266.404494	5.5215    	3.8525    	4.01683   	3.88356   	3.85157   	0.000932466
266.479401	5.52063   	3.85192   	4.01626   	3.88295   	3.85099   	0.000932229
266.554307	5.51976   	3.85135   	4.01569   	3.88235   	3.85042   	0.000931991
266.629213	5.5189    	3.85077   	4.01512   	3.88175   	3.84984   	0.000931754
266.704120	5.51803   	3.8502    	4.01455   	3.88114   	3.84927   	0.000931517
266.779026	5.51717   	3.84962   	4.01398   	3.88054   	3.84869   	0.000931279
266.853933	5.5163    	3.84905   	4.01341   	3.87994   	3.84812   	0.000931042
266.928839	5.51544   	3.84847   	4.01284   	3.87934   	3.84754   	0.000930806
267.003745	5.51457   	3.8479    	4.01227   	3.87874   	3.84697   	0.000930569
267.078652	5.51371   	3.84733   	4.0117    	3.87814   	3.8464    	0.000930332
267.153558	5.51285   	3.84675   	4.01113   	3.87753   	3.84582   	0.000930096
267.228464	5.51198   	3.84618   	4.01057   	3.87693   	3.84525   	0.000929859
267.303371	5.51112   	3.84561   	4.01      	3.87633   	3.84468   	0.000929623
267.378277	5.51026   	3.84504   	4.00943   	3.87573   	3.84411   	0.000929387
267.453184	5.5094    	3.84446   	4.00887   	3.87513   	3.84354   	0.000929151
267.528090	5.50854   	3.84389   	4.0083    	3.87454   	3.84296   	0.000928915
267.602996	5.50768   	3.84332   	4.00773   	3.87394   	3.84239   	0.000928679
267.677903	5.50682   	3.84275   	4.00717   	3.87334   	3.84182   	0.000928443
267.752809	5.50596   	3.84218   	4.0066    	3.87274   	3.84125   	0.000928208
267.827715	5.5051    	3.84161   	4.00604   	3.87214   	3.84068   	0.000927973
267.902622	5.50424   	3.84104   	4.00547   	3.87154   	3.84011   	0.000927737
267.977528	5.50338   	3.84047   	4.00491   	3.87095   	3.83954   	0.000927502
268.052434	5.50253   	3.8399    	4.00434   	3.87035   	3.83897   	0.000927267
268.127341	5.50167   	3.83933   	4.00378   	3.86975   	3.8384    	0.000927032
268.202247	5.50081   	3.83876   	4.00321   	3.86916   	3.83783   	0.000926798
268.277154	5.49996   	3.83819   	4.00265   	3.86856   	3.83727   	0.000926563
268.352060	5.4991    	3.83762   	4.00209   	3.86797   	3.8367    	0.000926328
268.426966	5.49824   	3.83706   	4.00153   	3.86737   	3.83613   	0.000926094
268.501873	5.49739   	3.83649   	4.00096   	3.86678   	3.83556   	0.00092586
268.576779	5.49654   	3.83592   	4.0004    	3.86618   	3.835     	0.000925626
268.651685	5.49568   	3.83535   	3.99984   	3.86559   	3.83443   	0.000925392
268.726592	5.49483   	3.83479   	3.99928   	3.86499   	3.83386   	0.000925158
268.801498	5.49397   	3.83422   	3.99872   	3.8644    	3.8333    	0.000924924
268.876404	5.49312   	3.83365   	3.99815   	3.86381   	3.83273   	0.00092469
268.951311	5.49227   	3.83309   	3.99759   	3.86321   	3.83216   	0.000924457
269.026217	5.49142   	3.83252   	3.99703   	3.86262   	3.8316    	0.000924223
269.101124	5.49057   	3.83196   	3.99647   	3.86203   	3.83103   	0.00092399
269.176030	5.48971   	3.83139   	3.99591   	3.86144   	3.83047   	0.000923757
269.250936	5.48886   	3.83083   	3.99535   	3.86084   	3.8299    	0.000923524
269.325843	5.48801   	3.83026   	3.99479   	3.86025   	3.82934   	0.000923291
269.400749	5.48716   	3.8297    	3.99424   	3.85966   	3.82878   	0.000923058
269.475655	5.48632   	3.82914   	3.99368   	3.85907   	3.82821   	0.000922825
269.550562	5.48547   	3.82857   	3.99312   	3.85848   	3.82765   	0.000922593
269.625468	5.48462   	3.82801   	3.99256   	3.85789   	3.82709   	0.00092236
269.700375	5.48377   	3.82745   	3.992     	3.8573    	3.82652   	0.000922128
269.775281	5.48292   	3.82688   	3.99144   	3.85671   	3.82596   	0.000921896
269.850187	5.48208   	3.82632   	3.99089   	3.85612   	3.8254    	0.000921664
269.925094	5.48123   	3.82576   	3.99033   	3.85553   	3.82484   	0.000921432
270.000000	5.48038   	3.8252    	3.98977   	3.85494   	3.82428   	0.0009212 
270.074906	5.47954   	3.82464   	3.98922   	3.85436   	3.82371   	0.000920969
270.149813	5.47869   	3.82407   	3.98866   	3.85377   	3.82315   	0.000920737
270.224719	5.47785   	3.82351   	3.98811   	3.85318   	3.82259   	0.000920506
270.299625	5.477     	3.82295   	3.98755   	3.85259   	3.82203   	0.000920274
270.374532	5.47616   	3.82239   	3.987     	3.85201   	3.82147   	0.000920043
270.449438	5.47531   	3.82183   	3.98644   	3.85142   	3.82091   	0.000919812
270.524345	5.47447   	3.82127   	3.98589   	3.85083   	3.82035   	0.000919581
270.599251	5.47363   	3.82071   	3.98533   	3.85025   	3.81979   	0.00091935
270.674157	5.47279   	3.82015   	3.98478   	3.84966   	3.81924   	0.000919119
270.749064	5.47194   	3.8196    	3.98422   	3.84908   	3.81868   	0.000918889
270.823970	5.4711    	3.81904   	3.98367   	3.84849   	3.81812   	0.000918658
270.898876	5.47026   	3.81848   	3.98312   	3.84791   	3.81756   	0.000918428
270.973783	5.46942   	3.81792   	3.98257   	3.84732   	3.817     	0.000918198
271.048689	5.46858   	3.81736   	3.98201   	3.84674   	3.81645   	0.000917968
271.123596	5.46774   	3.81681   	3.98146   	3.84615   	3.81589   	0.000917738
271.198502	5.4669    	3.81625   	3.98091   	3.84557   	3.81533   	0.000917508
271.273408	5.46606   	3.81569   	3.98036   	3.84499   	3.81477   	0.000917278
271.348315	5.46522   	3.81514   	3.97981   	3.8444    	3.81422   	0.000917048
271.423221	5.46439   	3.81458   	3.97926   	3.84382   	3.81366   	0.000916819
271.498127	5.46355   	3.81402   	3.9787    	3.84324   	3.81311   	0.000916589
271.573034	5.46271   	3.81347   	3.97815   	3.84266   	3.81255   	0.00091636
271.647940	5.46188   	3.81291   	3.9776    	3.84207   	3.812     	0.000916131
271.722846	5.46104   	3.81236   	3.97705   	3.84149   	3.81144   	0.000915902
271.797753	5.4602    	3.8118    	3.9765    	3.84091   	3.81089   	0.000915673
271.872659	5.45937   	3.81125   	3.97595   	3.84033   	3.81033   	0.000915444
271.947566	5.45853   	3.81069   	3.97541   	3.83975   	3.80978   	0.000915216
272.022472	5.4577    	3.81014   	3.97486   	3.83917   	3.80922   	0.000914987
272.097378	5.45686   	3.80959   	3.97431   	3.83859   	3.80867   	0.000914759
272.172285	5.45603   	3.80903   	3.97376   	3.83801   	3.80812   	0.00091453
272.247191	5.4552    	3.80848   	3.97321   	3.83743   	3.80757   	0.000914302
272.322097	5.45436   	3.80793   	3.97267   	3.83685   	3.80701   	0.000914074
272.397004	5.45353   	3.80737   	3.97212   	3.83627   	3.80646   	0.000913846
272.471910	5.4527    	3.80682   	3.97157   	3.8357    	3.80591   	0.000913618
272.546816	5.45187   	3.80627   	3.97102   	3.83512   	3.80536   	0.000913391
272.621723	5.45104   	3.80572   	3.97048   	3.83454   	3.80481   	0.000913163
272.696629	5.45021   	3.80517   	3.96993   	3.83396   	3.80425   	0.000912936
272.771536	5.44938   	3.80462   	3.96939   	3.83339   	3.8037    	0.000912708
272.846442	5.44855   	3.80407   	3.96884   	3.83281   	3.80315   	0.000912481
272.921348	5.44772   	3.80352   	3.96829   	3.83223   	3.8026    	0.000912254
272.996255	5.44689   	3.80297   	3.96775   	3.83166   	3.80205   	0.000912027
273.071161	5.44606   	3.80242   	3.9672    	3.83108   	3.8015    	0.0009118 
273.146067	5.44523   	3.80187   	3.96666   	3.8305    	3.80095   	0.000911573
273.220974	5.4444    	3.80132   	3.96612   	3.82993   	3.80041   	0.000911346
273.295880	5.44358   	3.80077   	3.96557   	3.82935   	3.79986   	0.00091112
273.370787	5.44275   	3.80022   	3.96503   	3.82878   	3.79931   	0.000910894
273.445693	5.44192   	3.79967   	3.96449   	3.82821   	3.79876   	0.000910667
273.520599	5.4411    	3.79912   	3.96394   	3.82763   	3.79821   	0.000910441
273.595506	5.44027   	3.79857   	3.9634    	3.82706   	3.79766   	0.000910215
273.670412	5.43945   	3.79803   	3.96286   	3.82648   	3.79712   	0.000909989
273.745318	5.43862   	3.79748   	3.96231   	3.82591   	3.79657   	0.000909763
273.820225	5.4378    	3.79693   	3.96177   	3.82534   	3.79602   	0.000909537
273.895131	5.43697   	3.79639   	3.96123   	3.82477   	3.79548   	0.000909312
